rank,title,subscribers,views,country,profile_picture_url
26,T-Series Bollywood Classics,52400000,39730428074,India,https://yt3.ggpht.com/gmC_qPleYtmSRfm2cpMMFARltMfwoCr9ZqhDe3Y9flc1kb9a5jLSFJShvhHgP0QipA5X5ZV0BQ=s800-c-k-c0x00ffffff-no-rj
27,Techno Gamerz,51100000,15623266951,India,https://yt3.ggpht.com/ytc/AIdro_mSh0doIgogNhhpzLcRYEMRorZefkBUe_6LYOWnLgzSyFc=s800-c-k-c0x00ffffff-no-rj
28,MR. INDIAN HACKER,50600000,10015169664,India,https://yt3.ggpht.com/LEbgOamka985TcXWUMeAVOzx3c0AZCyYjiiK-kb8uONftdu9yP3NPBL0Hr1-MuftF-fNKoQP=s800-c-k-c0x00ffffff-no-rj
29,IndiaTV,50400000,33703882494,India,https://yt3.ggpht.com/8VL4gMfdN2DAnnsyEHUkwxjzIIAs5DcoTeYRQLvS3ExNPu1Op0YsdhY9664A-FXNGScHRKoe=s800-c-k-c0x00ffffff-no-rj
30,ABP NEWS,50400000,26940693491,India,https://yt3.ggpht.com/cs6p1LSNJDQLhs9abvm8Sc_NT_SG5_6mHQo9ML2CtyIwOcHSDB48W4Apqjrg-LWMXRCXkv4Ai0U=s800-c-k-c0x00ffffff-no-rj
31,Dushyant kukreja,49900000,34547784871,India,https://yt3.ggpht.com/AkyD6Spy86Ovr9ZR2Tp6gTf-JNMROavNVVeXznIwx32-3cDanr7hWiqD3A6RrVVXJ5gjg-EZ=s800-c-k-c0x00ffffff-no-rj
32,Goldmines Gaane Sune Ansune,49000000,17673878975,India,https://yt3.ggpht.com/dEGXM4wDIFcuWCGSLpIzUBn8EXVMpIz1Ni5Dn0YP3u8iTsWs5U_7W2bKeTPza5BeaAI-YIYk1Ck=s800-c-k-c0x00ffffff-no-rj
33,Shorts Break,48400000,41452018209,India,https://yt3.ggpht.com/dDnG6kSxYL5QBi-Czc0-3oo8pq48VzbHC5P15D6_Om-56u7Wiq_Vy9f_w9OMBcblI0yg5AQw5Kc=s800-c-k-c0x00ffffff-no-rj
34,Speed Records,48400000,36010452141,India,https://yt3.ggpht.com/ytc/AIdro_lTIClTxbIfXAJHtzwqInxzY5h7PnvI9thZffyXeoa6xsA=s800-c-k-c0x00ffffff-no-rj
35,Ultra Bollywood,47000000,18390101919,India,https://yt3.ggpht.com/k-ttextobVe4D05OqobL_IMQNFB1I-gjyIsLS35YB7jWK4dAFcn5UE1lyqcPDFhEqWBtdkvEE4Q=s800-c-k-c0x00ffffff-no-rj
36,Priyal Kukreja,46200000,34861314297,India,https://yt3.ggpht.com/e0PQ2IE-7XkTG5mtn_l4meYBwBOyD5zGLU9faPFWml8zQACG90sE677UXziQ885AiOpZqO3d=s800-c-k-c0x00ffffff-no-rj
37,Total Gaming,45600000,5098169639,India,https://yt3.ggpht.com/ytc/AIdro_l7o9hDEiDVLvAW00YMnnYKzf4UpyJWhREfNWD3V33mBhM=s800-c-k-c0x00ffffff-no-rj
38,CarryMinati,45500000,4373877940,India,https://yt3.ggpht.com/cxE8FStJktJ2oiuv1f-7OHMfJI7ZlMby4NgPDkfJTyV3sOsvdo5pmsAb8TAcJVNor6gNT2h_0w=s800-c-k-c0x00ffffff-no-rj
39,Kids Channel India - Hindi Rhymes and Baby Songs,42200000,19632311938,India,https://yt3.ggpht.com/hZYF-Hz4YJp36GJZamItXW6PXGapw5p0nAneFgaRcTYymJLvWpXE0tF7SubIzv_rKa3HVgECN2g=s800-c-k-c0x00ffffff-no-rj
40,Zee News,42000000,30749028340,India,https://yt3.ggpht.com/TS6ObzI_MXbssyfyx0flQVm28pImVL4sJd1juAqQEiTpU9TOOV9smTFkqEUHzSy5EyEIUCwXmYI=s800-c-k-c0x00ffffff-no-rj
41,The geeta gurjar,41500000,61084517829,India,https://yt3.ggpht.com/1KD9NMGlTj84PnHuynrDqfK4UW2tJHe6NKldBRkI4Eft5_ON2kkX-QKOgDhB_AgiXr8gstGe74A=s800-c-k-c0x00ffffff-no-rj
